month,editors.anonymous,editors.user,editors.name-bot,editors.group-bot,editors.total,active-editors.total,edits.anonymous,edits.user,edits.name-bot,edits.group-bot,edits.total,new-reg.total,new-pages.anonymous,new-pages.user,new-pages.name-bot,new-pages.group-bot,new-pages.total,edited-pages.anonymous,edited-pages.user,edited-pages.name-bot,edited-pages.group-bot,edited-pages.total,edited-pages-conoc.non-content,edited-pages-conoc.content,edited-pages-conoc.total,pages2date.non-content,pages2date.content,pages2date.total,n_log_all,n_log_editor_ip,n_log_editor_bot,n_log_editor_user,n_log_admin_ip,n_log_admin_bot,n_log_admin_user,n_log_all_block,n_log_editor_ip_block,n_log_editor_bot_block,n_log_editor_user_block,n_log_admin_ip_block,n_log_admin_bot_block,n_log_admin_user_block,n_log_all_unblock,n_log_editor_ip_unblock,n_log_editor_bot_unblock,n_log_editor_user_unblock,n_log_admin_ip_unblock,n_log_admin_bot_unblock,n_log_admin_user_unblock,n_editor_all,n_editor_ip,n_editor_bot,n_editor_user,n_editor_all_block,n_editor_ip_block,n_editor_bot_block,n_editor_user_block,n_editor_all_unblock,n_editor_ip_unblock,n_editor_bot_unblock,n_editor_user_unblock,tag_number
2005-01-01,65476,14694,18.0,2.0,80190.0,6871,199826,594798,1923.0,3160.0,799707.0,2,7756,32798,24.0,0.0,40578.0,66918,175598,1268.0,2970.0,246754.0,38977,162240,201217,230161,436782,666943,1896,1267,0,629,0,0,1896,1299,993,0,306,0,0,1299,597,274,0,323,0,0,597,1256,826,0,430,962,759,0,203,534,247,0,287,26
2005-02-01,60723,15056,28.0,2.0,75809.0,6872,193228,592628,2128.0,1364.0,789348.0,5,7144,31538,14.0,0.0,38696.0,66906,176741,1538.0,1205.0,246390.0,39771,161811,201582,249240,456399,705639,2052,1442,0,610,0,0,2052,1547,1093,0,454,0,0,1547,505,349,0,156,0,0,505,1306,919,0,387,1216,915,0,301,336,189,0,147,26
2005-03-01,74055,18243,29.0,2.0,92329.0,8543,242362,770234,9740.0,1728.0,1024064.0,11,9471,40994,190.0,0.0,50655.0,81284,219188,4975.0,1618.0,307065.0,49885,198997,248882,274441,481853,756294,1629,882,0,747,0,0,1629,1379,819,0,560,0,0,1379,250,63,0,187,0,0,250,1118,663,0,455,1032,656,0,376,217,58,0,159,26
2005-04-01,92101,21373,31.0,2.0,113507.0,10039,329974,929123,29911.0,4866.0,1293874.0,13,11297,47379,982.0,2.0,59660.0,99532,250281,22458.0,4557.0,376828.0,59181,233517,292698,304580,511374,815954,1958,1174,0,784,0,0,1958,1758,1097,0,661,0,0,1758,200,77,0,123,0,0,200,1393,855,0,538,1332,851,0,481,174,62,0,112,26
2005-05-01,102733,23181,35.0,4.0,125953.0,10911,365311,969462,24931.0,4664.0,1364368.0,7,12989,45811,180.0,3.0,58983.0,109594,261928,18046.0,3975.0,393543.0,62047,245289,307336,333642,541295,874937,2221,316,0,1905,0,0,2221,451,308,0,143,0,0,451,44,8,0,36,0,0,44,2127,273,0,1854,384,273,0,111,38,7,0,31,26
2005-06-01,107321,24905,37.0,5.0,132268.0,11815,401915,1082211,13055.0,11498.0,1508679.0,14,13266,52116,135.0,22.0,65539.0,117380,282280,4248.0,9762.0,413670.0,70243,257728,327971,366274,574202,940476,2393,1592,0,801,0,0,2393,2097,1425,0,672,0,0,2097,296,167,0,129,0,0,296,1693,1140,0,553,1590,1101,0,489,257,145,0,112,26
2005-07-01,132806,31036,48.0,5.0,163895.0,14519,487909,1316440,15210.0,12600.0,1832159.0,17,16276,65638,397.0,1.0,82312.0,133906,321777,13090.0,10582.0,479355.0,83947,288097,372044,407631,615157,1022788,2553,1592,0,961,0,0,2553,2292,1500,0,792,0,0,2292,261,92,0,169,0,0,261,1854,1168,0,686,1775,1164,0,611,245,83,0,162,26
2005-08-01,151325,34955,53.0,5.0,186338.0,16079,534484,1414942,25631.0,5605.0,1980662.0,13,16493,74580,141.0,1.0,91215.0,147526,352577,19995.0,4236.0,524334.0,97903,309724,407627,456569,657434,1114003,5900,3583,0,2317,0,0,5900,5379,3362,0,2017,0,0,5379,521,221,0,300,0,0,521,4372,2615,0,1757,4207,2600,0,1607,439,192,0,247,26
2005-09-01,160239,34189,61.0,5.0,194494.0,15155,521850,1255830,92717.0,14856.0,1885253.0,44088,13687,66769,426.0,6.0,80888.0,144315,343731,61411.0,12143.0,561600.0,112078,321772,433850,501520,693371,1194891,4357,2681,0,1676,0,0,4357,3835,2431,0,1404,0,0,3835,522,250,0,272,0,0,522,3204,2014,0,1190,2949,1897,0,1052,467,221,0,246,26
2005-10-01,210364,40188,66.0,4.0,250622.0,17476,694235,1479765,56288.0,14186.0,2244474.0,75136,19136,80162,721.0,1.0,100020.0,175374,394006,45205.0,10054.0,624639.0,121584,354376,475960,559329,735582,1294911,13394,7793,0,5601,0,0,13394,9609,4474,0,5135,0,0,9609,3785,3319,0,466,0,0,3785,7888,4262,0,3626,7078,3596,0,3482,2455,2023,0,432,26
