month,total.anonymous,total.user,timeRange.start,timeRange.end,total.name-bot,total.group-bot
2001-01-01T00:00:00.000Z,18,53,2001-01-01T00:00:00.000Z,2001-02-01T00:00:00.000Z,,
2001-02-01T00:00:00.000Z,26,161,2001-02-01T00:00:00.000Z,2001-03-01T00:00:00.000Z,,
2001-03-01T00:00:00.000Z,191,492,2001-03-01T00:00:00.000Z,2001-04-01T00:00:00.000Z,,
2001-04-01T00:00:00.000Z,111,584,2001-04-01T00:00:00.000Z,2001-05-01T00:00:00.000Z,,
2001-05-01T00:00:00.000Z,205,1274,2001-05-01T00:00:00.000Z,2001-06-01T00:00:00.000Z,,
2001-06-01T00:00:00.000Z,240,502,2001-06-01T00:00:00.000Z,2001-07-01T00:00:00.000Z,,
2001-07-01T00:00:00.000Z,480,907,2001-07-01T00:00:00.000Z,2001-08-01T00:00:00.000Z,,
2001-08-01T00:00:00.000Z,819,1666,2001-08-01T00:00:00.000Z,2001-09-01T00:00:00.000Z,,
2001-09-01T00:00:00.000Z,1436,2919,2001-09-01T00:00:00.000Z,2001-10-01T00:00:00.000Z,,
2001-10-01T00:00:00.000Z,2235,4874,2001-10-01T00:00:00.000Z,2001-11-01T00:00:00.000Z,,
2001-11-01T00:00:00.000Z,2446,4604,2001-11-01T00:00:00.000Z,2001-12-01T00:00:00.000Z,,
2001-12-01T00:00:00.000Z,2991,4779,2001-12-01T00:00:00.000Z,2002-01-01T00:00:00.000Z,5,
2002-01-01T00:00:00.000Z,2144,3698,2002-01-01T00:00:00.000Z,2002-02-01T00:00:00.000Z,12,
2002-02-01T00:00:00.000Z,4266,27774,2002-02-01T00:00:00.000Z,2002-03-01T00:00:00.000Z,,
2002-03-01T00:00:00.000Z,3220,6677,2002-03-01T00:00:00.000Z,2002-04-01T00:00:00.000Z,,
2002-04-01T00:00:00.000Z,2669,6378,2002-04-01T00:00:00.000Z,2002-05-01T00:00:00.000Z,,
2002-05-01T00:00:00.000Z,3516,5838,2002-05-01T00:00:00.000Z,2002-06-01T00:00:00.000Z,,
