month,total.anonymous,total.user,timeRange.start,timeRange.end,total.name-bot,total.group-bot
2001-01-01T00:00:00.000Z,44,66,2001-01-01T00:00:00.000Z,2001-02-01T00:00:00.000Z,,
2001-02-01T00:00:00.000Z,24,45,2001-02-01T00:00:00.000Z,2001-03-01T00:00:00.000Z,,
2001-03-01T00:00:00.000Z,88,79,2001-03-01T00:00:00.000Z,2001-04-01T00:00:00.000Z,,
2001-04-01T00:00:00.000Z,64,44,2001-04-01T00:00:00.000Z,2001-05-01T00:00:00.000Z,,
2001-05-01T00:00:00.000Z,85,58,2001-05-01T00:00:00.000Z,2001-06-01T00:00:00.000Z,,
2001-06-01T00:00:00.000Z,87,57,2001-06-01T00:00:00.000Z,2001-07-01T00:00:00.000Z,,
2001-07-01T00:00:00.000Z,237,183,2001-07-01T00:00:00.000Z,2001-08-01T00:00:00.000Z,,
2001-08-01T00:00:00.000Z,186,149,2001-08-01T00:00:00.000Z,2001-09-01T00:00:00.000Z,,
2001-09-01T00:00:00.000Z,497,302,2001-09-01T00:00:00.000Z,2001-10-01T00:00:00.000Z,,
2001-10-01T00:00:00.000Z,490,260,2001-10-01T00:00:00.000Z,2001-11-01T00:00:00.000Z,,
2001-11-01T00:00:00.000Z,687,281,2001-11-01T00:00:00.000Z,2001-12-01T00:00:00.000Z,,
2001-12-01T00:00:00.000Z,969,362,2001-12-01T00:00:00.000Z,2002-01-01T00:00:00.000Z,1,
2002-01-01T00:00:00.000Z,787,321,2002-01-01T00:00:00.000Z,2002-02-01T00:00:00.000Z,1,
2002-02-01T00:00:00.000Z,1413,306,2002-02-01T00:00:00.000Z,2002-03-01T00:00:00.000Z,,
2002-03-01T00:00:00.000Z,1442,278,2002-03-01T00:00:00.000Z,2002-04-01T00:00:00.000Z,,
2002-04-01T00:00:00.000Z,1333,245,2002-04-01T00:00:00.000Z,2002-05-01T00:00:00.000Z,,
2002-05-01T00:00:00.000Z,1289,236,2002-05-01T00:00:00.000Z,2002-06-01T00:00:00.000Z,,
2002-06-01T00:00:00.000Z,1206,292,2002-06-01T00:00:00.000Z,2002-07-01T00:00:00.000Z,,
2002-07-01T00:00:00.000Z,1440,333,2002-07-01T00:00:00.000Z,2002-08-01T00:00:00.000Z,,
2002-08-01T00:00:00.000Z,2123,417,2002-08-01T00:00:00.000Z,2002-09-01T00:00:00.000Z,1,
2002-09-01T00:00:00.000Z,2800,529,2002-09-01T00:00:00.000Z,2002-10-01T00:00:00.000Z,,
2002-10-01T00:00:00.000Z,2936,598,2002-10-01T00:00:00.000Z,2002-11-01T00:00:00.000Z,,
2002-11-01T00:00:00.000Z,3146,581,2002-11-01T00:00:00.000Z,2002-12-01T00:00:00.000Z,4,
2002-12-01T00:00:00.000Z,3391,659,2002-12-01T00:00:00.000Z,2003-01-01T00:00:00.000Z,1,
2003-01-01T00:00:00.000Z,4129,986,2003-01-01T00:00:00.000Z,2003-02-01T00:00:00.000Z,,
2003-02-01T00:00:00.000Z,3324,985,2003-02-01T00:00:00.000Z,2003-03-01T00:00:00.000Z,,
2003-03-01T00:00:00.000Z,3860,928,2003-03-01T00:00:00.000Z,2003-04-01T00:00:00.000Z,,
2003-04-01T00:00:00.000Z,4158,906,2003-04-01T00:00:00.000Z,2003-05-01T00:00:00.000Z,,
2003-05-01T00:00:00.000Z,4943,1275,2003-05-01T00:00:00.000Z,2003-06-01T00:00:00.000Z,2,
2003-06-01T00:00:00.000Z,5362,1422,2003-06-01T00:00:00.000Z,2003-07-01T00:00:00.000Z,1,
2003-07-01T00:00:00.000Z,6648,1792,2003-07-01T00:00:00.000Z,2003-08-01T00:00:00.000Z,3,
2003-08-01T00:00:00.000Z,7710,2004,2003-08-01T00:00:00.000Z,2003-09-01T00:00:00.000Z,2,
2003-09-01T00:00:00.000Z,8529,1991,2003-09-01T00:00:00.000Z,2003-10-01T00:00:00.000Z,2,
2003-10-01T00:00:00.000Z,9093,2339,2003-10-01T00:00:00.000Z,2003-11-01T00:00:00.000Z,1,
2003-11-01T00:00:00.000Z,9291,2486,2003-11-01T00:00:00.000Z,2003-12-01T00:00:00.000Z,3,
2003-12-01T00:00:00.000Z,10379,2621,2003-12-01T00:00:00.000Z,2004-01-01T00:00:00.000Z,5,1
2004-01-01T00:00:00.000Z,11725,3130,2004-01-01T00:00:00.000Z,2004-02-01T00:00:00.000Z,3,
2004-02-01T00:00:00.000Z,15705,4170,2004-02-01T00:00:00.000Z,2004-03-01T00:00:00.000Z,1,1
2004-03-01T00:00:00.000Z,21396,5478,2004-03-01T00:00:00.000Z,2004-04-01T00:00:00.000Z,8,
2004-04-01T00:00:00.000Z,20752,5756,2004-04-01T00:00:00.000Z,2004-05-01T00:00:00.000Z,7,
2004-05-01T00:00:00.000Z,22080,6274,2004-05-01T00:00:00.000Z,2004-06-01T00:00:00.000Z,7,1
2004-06-01T00:00:00.000Z,24526,7379,2004-06-01T00:00:00.000Z,2004-07-01T00:00:00.000Z,8,1
2004-07-01T00:00:00.000Z,29745,7782,2004-07-01T00:00:00.000Z,2004-08-01T00:00:00.000Z,11,1
2004-08-01T00:00:00.000Z,30304,8574,2004-08-01T00:00:00.000Z,2004-09-01T00:00:00.000Z,16,2
2004-09-01T00:00:00.000Z,38488,9908,2004-09-01T00:00:00.000Z,2004-10-01T00:00:00.000Z,21,2
2004-10-01T00:00:00.000Z,46260,11348,2004-10-01T00:00:00.000Z,2004-11-01T00:00:00.000Z,13,1
2004-11-01T00:00:00.000Z,56810,13211,2004-11-01T00:00:00.000Z,2004-12-01T00:00:00.000Z,23,1
2004-12-01T00:00:00.000Z,60861,14231,2004-12-01T00:00:00.000Z,2005-01-01T00:00:00.000Z,20,3
2005-01-01T00:00:00.000Z,65476,14694,2005-01-01T00:00:00.000Z,2005-02-01T00:00:00.000Z,18,2
2005-02-01T00:00:00.000Z,60723,15056,2005-02-01T00:00:00.000Z,2005-03-01T00:00:00.000Z,28,2
2005-03-01T00:00:00.000Z,74055,18243,2005-03-01T00:00:00.000Z,2005-04-01T00:00:00.000Z,29,2
2005-04-01T00:00:00.000Z,92101,21373,2005-04-01T00:00:00.000Z,2005-05-01T00:00:00.000Z,31,2
