month,total.anonymous,total.user,timeRange.start,timeRange.end,total.name-bot,total.group-bot
2001-01-01T00:00:00.000Z,95,440,2001-01-01T00:00:00.000Z,2001-02-01T00:00:00.000Z,,
2001-02-01T00:00:00.000Z,144,803,2001-02-01T00:00:00.000Z,2001-03-01T00:00:00.000Z,,
2001-03-01T00:00:00.000Z,429,1367,2001-03-01T00:00:00.000Z,2001-04-01T00:00:00.000Z,,
2001-04-01T00:00:00.000Z,231,958,2001-04-01T00:00:00.000Z,2001-05-01T00:00:00.000Z,,
2001-05-01T00:00:00.000Z,342,2028,2001-05-01T00:00:00.000Z,2001-06-01T00:00:00.000Z,,
2001-06-01T00:00:00.000Z,422,1069,2001-06-01T00:00:00.000Z,2001-07-01T00:00:00.000Z,,
2001-07-01T00:00:00.000Z,868,1760,2001-07-01T00:00:00.000Z,2001-08-01T00:00:00.000Z,,
2001-08-01T00:00:00.000Z,1176,2792,2001-08-01T00:00:00.000Z,2001-09-01T00:00:00.000Z,,
2001-09-01T00:00:00.000Z,2047,4711,2001-09-01T00:00:00.000Z,2001-10-01T00:00:00.000Z,,
2001-10-01T00:00:00.000Z,3377,8034,2001-10-01T00:00:00.000Z,2001-11-01T00:00:00.000Z,,
2001-11-01T00:00:00.000Z,4627,12089,2001-11-01T00:00:00.000Z,2001-12-01T00:00:00.000Z,,
2001-12-01T00:00:00.000Z,7809,16747,2001-12-01T00:00:00.000Z,2002-01-01T00:00:00.000Z,9,
2002-01-01T00:00:00.000Z,5814,11441,2002-01-01T00:00:00.000Z,2002-02-01T00:00:00.000Z,15,
2002-02-01T00:00:00.000Z,8486,45836,2002-02-01T00:00:00.000Z,2002-03-01T00:00:00.000Z,,
2002-03-01T00:00:00.000Z,7179,17095,2002-03-01T00:00:00.000Z,2002-04-01T00:00:00.000Z,,
2002-04-01T00:00:00.000Z,5692,15039,2002-04-01T00:00:00.000Z,2002-05-01T00:00:00.000Z,,
2002-05-01T00:00:00.000Z,7006,12538,2002-05-01T00:00:00.000Z,2002-06-01T00:00:00.000Z,,
2002-06-01T00:00:00.000Z,8223,21402,2002-06-01T00:00:00.000Z,2002-07-01T00:00:00.000Z,,
2002-07-01T00:00:00.000Z,8845,24833,2002-07-01T00:00:00.000Z,2002-08-01T00:00:00.000Z,,
2002-08-01T00:00:00.000Z,14454,46044,2002-08-01T00:00:00.000Z,2002-09-01T00:00:00.000Z,24,
2002-09-01T00:00:00.000Z,16011,68072,2002-09-01T00:00:00.000Z,2002-10-01T00:00:00.000Z,,
2002-10-01T00:00:00.000Z,17605,91931,2002-10-01T00:00:00.000Z,2002-11-01T00:00:00.000Z,,
2002-11-01T00:00:00.000Z,16252,46601,2002-11-01T00:00:00.000Z,2002-12-01T00:00:00.000Z,20,
2002-12-01T00:00:00.000Z,17614,49396,2002-12-01T00:00:00.000Z,2003-01-01T00:00:00.000Z,32287,
2003-01-01T00:00:00.000Z,21057,70558,2003-01-01T00:00:00.000Z,2003-02-01T00:00:00.000Z,,
2003-02-01T00:00:00.000Z,14948,65264,2003-02-01T00:00:00.000Z,2003-03-01T00:00:00.000Z,,
2003-03-01T00:00:00.000Z,18031,69067,2003-03-01T00:00:00.000Z,2003-04-01T00:00:00.000Z,,
2003-04-01T00:00:00.000Z,18896,71117,2003-04-01T00:00:00.000Z,2003-05-01T00:00:00.000Z,,
2003-05-01T00:00:00.000Z,19142,93360,2003-05-01T00:00:00.000Z,2003-06-01T00:00:00.000Z,45,
2003-06-01T00:00:00.000Z,20085,91402,2003-06-01T00:00:00.000Z,2003-07-01T00:00:00.000Z,6037,
2003-07-01T00:00:00.000Z,25745,97954,2003-07-01T00:00:00.000Z,2003-08-01T00:00:00.000Z,14154,
2003-08-01T00:00:00.000Z,33056,122896,2003-08-01T00:00:00.000Z,2003-09-01T00:00:00.000Z,58,
2003-09-01T00:00:00.000Z,31057,108934,2003-09-01T00:00:00.000Z,2003-10-01T00:00:00.000Z,741,
2003-10-01T00:00:00.000Z,32263,118129,2003-10-01T00:00:00.000Z,2003-11-01T00:00:00.000Z,1998,
2003-11-01T00:00:00.000Z,33572,165639,2003-11-01T00:00:00.000Z,2003-12-01T00:00:00.000Z,117,
2003-12-01T00:00:00.000Z,36492,179131,2003-12-01T00:00:00.000Z,2004-01-01T00:00:00.000Z,6196,28
2004-01-01T00:00:00.000Z,37302,179459,2004-01-01T00:00:00.000Z,2004-02-01T00:00:00.000Z,2046,
2004-02-01T00:00:00.000Z,54992,252917,2004-02-01T00:00:00.000Z,2004-03-01T00:00:00.000Z,2031,1
2004-03-01T00:00:00.000Z,78049,358910,2004-03-01T00:00:00.000Z,2004-04-01T00:00:00.000Z,3589,
2004-04-01T00:00:00.000Z,72091,332159,2004-04-01T00:00:00.000Z,2004-05-01T00:00:00.000Z,758,
2004-05-01T00:00:00.000Z,77658,341052,2004-05-01T00:00:00.000Z,2004-06-01T00:00:00.000Z,1433,95
2004-06-01T00:00:00.000Z,85577,475197,2004-06-01T00:00:00.000Z,2004-07-01T00:00:00.000Z,79,147
2004-07-01T00:00:00.000Z,100657,447829,2004-07-01T00:00:00.000Z,2004-08-01T00:00:00.000Z,29731,21938
2004-08-01T00:00:00.000Z,102449,504849,2004-08-01T00:00:00.000Z,2004-09-01T00:00:00.000Z,29586,2508
2004-09-01T00:00:00.000Z,133684,532730,2004-09-01T00:00:00.000Z,2004-10-01T00:00:00.000Z,3107,6237
2004-10-01T00:00:00.000Z,150585,575602,2004-10-01T00:00:00.000Z,2004-11-01T00:00:00.000Z,14849,1195
2004-11-01T00:00:00.000Z,195496,690949,2004-11-01T00:00:00.000Z,2004-12-01T00:00:00.000Z,57705,3229
2004-12-01T00:00:00.000Z,206251,677200,2004-12-01T00:00:00.000Z,2005-01-01T00:00:00.000Z,33461,15826
2005-01-01T00:00:00.000Z,199826,594798,2005-01-01T00:00:00.000Z,2005-02-01T00:00:00.000Z,1923,3160
2005-02-01T00:00:00.000Z,193228,592628,2005-02-01T00:00:00.000Z,2005-03-01T00:00:00.000Z,2128,1364
2005-03-01T00:00:00.000Z,242362,770234,2005-03-01T00:00:00.000Z,2005-04-01T00:00:00.000Z,9740,1728
2005-04-01T00:00:00.000Z,329974,929123,2005-04-01T00:00:00.000Z,2005-05-01T00:00:00.000Z,29911,4866
2005-05-01T00:00:00.000Z,365311,969462,2005-05-01T00:00:00.000Z,2005-06-01T00:00:00.000Z,24931,4664
2005-06-01T00:00:00.000Z,401915,1082211,2005-06-01T00:00:00.000Z,2005-07-01T00:00:00.000Z,13055,11498
