month,total.anonymous,total.user,timeRange.start,timeRange.end,total.name-bot,total.group-bot
2001-01-01T00:00:00.000Z,14,52,2001-01-01T00:00:00.000Z,2001-02-01T00:00:00.000Z,,
2001-02-01T00:00:00.000Z,17,146,2001-02-01T00:00:00.000Z,2001-03-01T00:00:00.000Z,,
2001-03-01T00:00:00.000Z,141,387,2001-03-01T00:00:00.000Z,2001-04-01T00:00:00.000Z,,
2001-04-01T00:00:00.000Z,83,529,2001-04-01T00:00:00.000Z,2001-05-01T00:00:00.000Z,,
2001-05-01T00:00:00.000Z,163,1135,2001-05-01T00:00:00.000Z,2001-06-01T00:00:00.000Z,,
2001-06-01T00:00:00.000Z,146,341,2001-06-01T00:00:00.000Z,2001-07-01T00:00:00.000Z,,
2001-07-01T00:00:00.000Z,321,663,2001-07-01T00:00:00.000Z,2001-08-01T00:00:00.000Z,,
2001-08-01T00:00:00.000Z,609,1267,2001-08-01T00:00:00.000Z,2001-09-01T00:00:00.000Z,,
2001-09-01T00:00:00.000Z,1046,2173,2001-09-01T00:00:00.000Z,2001-10-01T00:00:00.000Z,,
2001-10-01T00:00:00.000Z,1567,3547,2001-10-01T00:00:00.000Z,2001-11-01T00:00:00.000Z,,
2001-11-01T00:00:00.000Z,1049,2458,2001-11-01T00:00:00.000Z,2001-12-01T00:00:00.000Z,,
2001-12-01T00:00:00.000Z,813,1601,2001-12-01T00:00:00.000Z,2002-01-01T00:00:00.000Z,,
2002-01-01T00:00:00.000Z,653,1175,2002-01-01T00:00:00.000Z,2002-02-01T00:00:00.000Z,1,
2002-02-01T00:00:00.000Z,1855,5954,2002-02-01T00:00:00.000Z,2002-03-01T00:00:00.000Z,,
2002-03-01T00:00:00.000Z,990,2156,2002-03-01T00:00:00.000Z,2002-04-01T00:00:00.000Z,,
2002-04-01T00:00:00.000Z,769,1635,2002-04-01T00:00:00.000Z,2002-05-01T00:00:00.000Z,,
2002-05-01T00:00:00.000Z,693,1339,2002-05-01T00:00:00.000Z,2002-06-01T00:00:00.000Z,,
2002-06-01T00:00:00.000Z,950,2404,2002-06-01T00:00:00.000Z,2002-07-01T00:00:00.000Z,,
2002-07-01T00:00:00.000Z,1025,2447,2002-07-01T00:00:00.000Z,2002-08-01T00:00:00.000Z,,
2002-08-01T00:00:00.000Z,1956,3956,2002-08-01T00:00:00.000Z,2002-09-01T00:00:00.000Z,11,
2002-09-01T00:00:00.000Z,1931,9321,2002-09-01T00:00:00.000Z,2002-10-01T00:00:00.000Z,,
2002-10-01T00:00:00.000Z,2394,37475,2002-10-01T00:00:00.000Z,2002-11-01T00:00:00.000Z,,
2002-11-01T00:00:00.000Z,1936,4488,2002-11-01T00:00:00.000Z,2002-12-01T00:00:00.000Z,1,
2002-12-01T00:00:00.000Z,1822,3925,2002-12-01T00:00:00.000Z,2003-01-01T00:00:00.000Z,2,
2003-01-01T00:00:00.000Z,2064,5960,2003-01-01T00:00:00.000Z,2003-02-01T00:00:00.000Z,,
2003-02-01T00:00:00.000Z,1547,5178,2003-02-01T00:00:00.000Z,2003-03-01T00:00:00.000Z,,
2003-03-01T00:00:00.000Z,1741,5349,2003-03-01T00:00:00.000Z,2003-04-01T00:00:00.000Z,,
